(36, 220, 36)
(242, 112, 31)
(116, 180, 27)
(370, 132, 27)
(248, 298, 24)
(248, 374, 24)
(54, 294, 23)
(70, 24, 23)
(70, 360, 23)
(312, 70, 23)
(166, 120, 22)
(362, 70, 21)
(102, 66, 20)
(164, 180, 20)
(92, 222, 19)
(208, 52, 19)
(320, 302, 19)
(332, 200, 19)
(34, 140, 18)
(142, 68, 18)
(16, 68, 16)
(196, 160, 16)
(274, 170, 16)
(16, 16, 15)
(194, 334, 15)
(256, 16, 15)
(288, 16, 15)
(290, 112, 15)
(174, 46, 14)
(14, 98, 13)
(242, 336, 13)
(36, 380, 12)
(52, 100, 12)
(80, 268, 12)
(120, 264, 12)
(162, 298, 12)
